cost
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,8,1,9,2,3,5,4,7,13,19,12,11,17,19,15,14,12,17,19,28,26,29,24,25,27,26,22
0,4,0,3,6,9,8,7,1,3,5,14,19,16,15,18,12,16,15,16,16,23,28,29,21,24,22,22,27,26
0,8,3,0,5,6,7,1,2,3,8,19,18,13,14,15,18,17,61,11,15,27,26,28,28,23,25,29,29,27
0,1,6,5,0,2,3,4,1,6,7,18,14,15,19,16,17,13,16,15,12,24,25,23,22,23,28,29,27,22
0,9,9,6,2,0,4,4,5,7,9,18,17,11,12,19,18,11,16,13,17,26,21,21,29,28,29,24,23,28
0,2,8,7,3,4,0,4,5,9,9,11,13,14,13,18,16,19,12,13,14,26,29,29,24,27,26,23,21,22
0,3,7,1,4,4,4,0,3,5,5,14,17,17,16,19,11,12,13,17,15,26,25,22,23,28,29,28,29,21
0,5,1,2,1,5,5,3,0,1,1,13,15,17,16,13,12,19,14,13,13,27,22,26,27,27,24,25,21,29
0,4,3,3,6,7,9,5,1,0,2,14,13,14,16,18,19,12,13,11,16,26,25,27,22,24,23,24,24,24
0,7,5,8,7,9,9,5,1,2,0,19,19,18,18,17,17,16,16,11,11,22,22,23,23,24,24,25,25,26
0,13,14,19,18,18,11,14,13,14,19,0,8,8,4,3,5,1,2,7,6,11,11,14,15,19,16,17,12,13
0,19,19,18,14,17,13,17,15,13,19,8,0,5,5,7,6,8,8,3,4,15,11,12,15,13,13,15,17,19
0,12,16,13,15,11,14,17,17,14,18,8,5,0,4,2,2,5,3,1,6,17,13,19,18,11,13,12,15,12
0,11,15,14,19,12,13,16,16,16,18,4,5,4,0,1,3,2,5,5,7,14,18,19,11,13,14,12,15,17
0,17,18,15,16,19,18,19,13,18,17,3,7,2,1,0,5,7,7,6,8,19,11,11,12,14,13,15,17,16
0,19,12,18,17,18,16,11,12,19,17,5,6,2,3,5,0,9,9,1,1,12,12,13,13,15,15,17,17,16
0,15,16,17,13,11,19,12,19,12,16,1,8,5,2,7,9,0,4,4,5,15,16,16,17,17,12,12,13,13
0,14,15,16,16,16,12,13,14,13,16,2,8,3,5,7,9,4,0,7,5,13,12,12,13,11,17,18,19,14
0,12,16,11,15,13,13,17,13,11,11,7,3,1,5,6,1,4,7,0,9,19,11,13,14,16,15,17,19,12
0,17,16,15,12,17,14,15,13,16,11,6,4,6,7,8,1,5,5,9,0,18,17,11,13,12,14,15,17,16
0,29,23,27,24,26,26,26,27,26,22,11,15,17,14,19,12,15,13,19,18,0,6,6,4,7,2,1,3,4
0,28,28,26,25,21,29,25,22,25,22,11,11,13,18,11,12,16,12,11,17,6,0,9,6,7,2,2,4,3
0,26,29,28,23,21,29,22,26,27,23,14,12,19,19,11,13,16,12,13,11,6,9,0,1,2,3,4,5,6
0,29,21,28,22,29,24,23,27,22,23,15,15,18,11,12,13,17,13,14,13,5,6,1,0,9,8,7,6,5
0,24,24,23,23,28,27,28,27,24,24,19,13,11,13,14,15,17,11,16,12,7,7,2,9,0,3,3,5,5
0,25,22,25,28,29,26,29,24,23,24,16,13,13,14,13,15,12,17,15,14,2,2,3,8,3,0,8,7,6
0,27,22,29,29,24,23,28,25,24,25,17,15,12,12,15,17,12,18,17,15,1,2,4,7,3,8,0,1,3
0,26,27,29,27,23,21,29,21,24,25,12,17,15,15,17,17,13,19,19,17,3,4,5,6,5,7,1,0,9
0,22,26,27,27,28,22,21,29,24,26,13,19,12,17,16,16,13,14,12,16,4,3,6,5,5,6,3,9,0
